contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic large_mixed programme C001,2027-04-10,Construction,Non-live (Others),2,2028-07-17,2028-05-14,1,C,3
C002,Synthetic large_mixed programme C002,2027-06-28,Renewal,Non-live (Consist),2,2028-07-17,2028-06-04,2,C,3
C003,Synthetic large_mixed programme C003,2027-02-03,Renewal,Non-live (Consist),2,2028-07-17,2028-05-21,1,PC,3
C004,Synthetic large_mixed programme C004,2027-01-26,Renewal,Non-live (Consist),2,2028-07-17,2028-05-30,1,C,3
C005,Synthetic large_mixed programme C005,2027-04-26,Renewal,Live,2,2028-07-17,2028-01-30,1,C,2
C006,Synthetic large_mixed programme C006,2027-01-23,Construction,Non-live (Others),2,2028-07-17,2028-06-04,1,C,3
C007,Synthetic large_mixed programme C007,2027-03-28,Renewal,Live,2,2028-07-17,2028-02-20,1,C,2
C008,Synthetic large_mixed programme C008,2027-03-16,Renewal,Live,3,2028-07-17,2028-06-20,1,C,2
C009,Synthetic large_mixed programme C009,2027-06-11,Renewal,Live,3,2028-07-17,2028-06-18,2,PM,2
C010,Synthetic large_mixed programme C010,2027-05-23,Construction,Non-live (Others),2,2028-07-17,2028-04-02,1,C,3
C011,Synthetic large_mixed programme C011,2027-01-18,Construction,Non-live (Others),3,2028-07-17,2028-02-27,1,C,3
C012,Synthetic large_mixed programme C012,2027-05-14,Construction,Non-live (Others),2,2028-07-17,2028-06-06,1,C,3
C013,Synthetic large_mixed programme C013,2027-03-30,Renewal,Live,1,2028-07-17,2028-05-28,1,PC,2
C014,Synthetic large_mixed programme C014,2027-06-14,Renewal,Live,2,2028-07-17,2028-05-16,1,C,2
C015,Synthetic large_mixed programme C015,2027-03-21,Construction,Non-live (Others),2,2028-07-17,2028-06-06,1,C,3
C016,Synthetic large_mixed programme C016,2027-06-07,Renewal,Live,1,2028-07-17,2028-03-28,1,C,2
C017,Synthetic large_mixed programme C017,2027-01-17,Renewal,Live,2,2028-07-17,2028-04-09,1,C,2
C018,Synthetic large_mixed programme C018,2027-06-13,Construction,Non-live (Others),3,2028-07-17,2028-02-08,1,C,3
C019,Synthetic large_mixed programme C019,2027-07-13,Renewal,Non-live (Consist),2,2028-07-17,2028-04-30,1,PC,3
C020,Synthetic large_mixed programme C020,2027-05-25,Renewal,Non-live (Consist),3,2028-07-17,2028-06-11,1,C,3
C021,Synthetic large_mixed programme C021,2027-05-31,Renewal,Live,3,2028-07-17,2028-05-30,1,C,2
C022,Synthetic large_mixed programme C022,2027-03-01,Renewal,Non-live (Consist),2,2028-07-17,2028-05-21,1,C,3
C023,Synthetic large_mixed programme C023,2027-06-20,Construction,Non-live (Others),1,2028-07-17,2028-05-28,1,PC,3
