contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic large_mixed programme C001,2027-01-26,Renewal,Non-live (Consist),2,2028-07-17,2028-05-28,2,C,2
C002,Synthetic large_mixed programme C002,2027-05-10,Renewal,Live,3,2028-07-17,2028-04-16,1,PM,1
C003,Synthetic large_mixed programme C003,2027-06-24,Construction,Non-live (Others),2,2028-07-17,2028-06-20,1,PC,4
C004,Synthetic large_mixed programme C004,2027-03-19,Renewal,Live,2,2028-07-17,2028-06-18,1,C,2
C005,Synthetic large_mixed programme C005,2027-04-21,Renewal,Non-live (Consist),2,2028-07-17,2028-06-25,1,PC,3
C006,Synthetic large_mixed programme C006,2027-02-28,Construction,Non-live (Others),1,2028-07-17,2028-06-18,2,C,2
C007,Synthetic large_mixed programme C007,2027-02-04,Renewal,Non-live (Consist),2,2028-07-17,2028-06-11,2,C,2
C008,Synthetic large_mixed programme C008,2027-05-14,Renewal,Live,3,2028-07-17,2028-06-06,2,C,2
C009,Synthetic large_mixed programme C009,2027-03-14,Renewal,Live,3,2028-07-17,2028-06-11,1,C,1
C010,Synthetic large_mixed programme C010,2027-02-17,Construction,Non-live (Others),3,2028-07-17,2028-04-02,2,C,2
C011,Synthetic large_mixed programme C011,2027-02-19,Renewal,Live,3,2028-07-17,2028-04-23,1,PM,1
C012,Synthetic large_mixed programme C012,2027-05-23,Renewal,Live,2,2028-07-17,2028-05-16,1,PC,2
C013,Synthetic large_mixed programme C013,2027-06-25,Renewal,Live,1,2028-07-17,2028-05-21,1,C,1
C014,Synthetic large_mixed programme C014,2027-06-08,Renewal,Live,1,2028-07-17,2028-05-07,2,C,2
C015,Synthetic large_mixed programme C015,2027-06-07,Renewal,Non-live (Consist),2,2028-07-17,2028-01-02,1,C,1
C016,Synthetic large_mixed programme C016,2027-04-06,Renewal,Live,1,2028-07-17,2028-01-09,1,PC,1
C017,Synthetic large_mixed programme C017,2027-05-21,Construction,Non-live (Others),3,2028-07-17,2028-05-23,1,C,4
C018,Synthetic large_mixed programme C018,2027-03-23,Renewal,Non-live (Consist),1,2028-07-17,2028-05-21,1,C,2
C019,Synthetic large_mixed programme C019,2027-05-04,Renewal,Live,3,2028-07-17,2028-04-04,1,PM,1
C020,Synthetic large_mixed programme C020,2027-02-15,Renewal,Non-live (Consist),1,2028-07-17,2028-06-18,1,C,2
C021,Synthetic large_mixed programme C021,2027-01-28,Construction,Non-live (Others),3,2028-07-17,2028-04-18,2,C,1
C022,Synthetic large_mixed programme C022,2027-03-04,Renewal,Live,3,2028-07-17,2028-02-20,1,C,1
