contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic precedence_chains programme C001,2027-01-18,Renewal,Non-live (Consist),3,2028-03-27,2028-01-09,1,PC,3
C002,Synthetic precedence_chains programme C002,2026-11-26,Renewal,Non-live (Consist),3,2028-03-27,2027-12-26,1,PC,3
C003,Synthetic precedence_chains programme C003,2026-11-28,Construction,Non-live (Others),2,2028-03-27,2028-02-22,1,C,3
C004,Synthetic precedence_chains programme C004,2027-03-02,Construction,Non-live (Others),3,2028-03-27,2028-02-27,1,PC,3
C005,Synthetic precedence_chains programme C005,2027-02-13,Renewal,Live,2,2028-03-27,2027-09-05,1,PM,2
C006,Synthetic precedence_chains programme C006,2026-12-30,Renewal,Non-live (Consist),3,2028-03-27,2028-01-23,1,PC,3
C007,Synthetic precedence_chains programme C007,2026-11-06,Construction,Non-live (Others),1,2028-03-27,2028-02-27,1,C,3
C008,Synthetic precedence_chains programme C008,2027-02-23,Renewal,Non-live (Consist),2,2028-03-27,2028-02-29,1,C,3
C009,Synthetic precedence_chains programme C009,2026-11-16,Construction,Non-live (Others),3,2028-03-27,2028-01-09,1,PC,3
C010,Synthetic precedence_chains programme C010,2026-12-22,Renewal,Live,2,2028-03-27,2028-02-27,2,C,2
C011,Synthetic precedence_chains programme C011,2026-12-07,Renewal,Non-live (Consist),1,2028-03-27,2028-01-30,2,C,3
C012,Synthetic precedence_chains programme C012,2027-03-10,Construction,Non-live (Others),1,2028-03-27,2028-01-09,1,C,3
C013,Synthetic precedence_chains programme C013,2027-02-11,Renewal,Non-live (Consist),3,2028-03-27,2028-02-06,1,PC,3
C014,Synthetic precedence_chains programme C014,2026-12-13,Renewal,Non-live (Consist),3,2028-03-27,2028-01-23,1,PC,3
C015,Synthetic precedence_chains programme C015,2027-01-03,Renewal,Live,1,2028-03-27,2027-10-26,1,PC,2
