contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic long_spans programme C001,2026-11-30,Renewal,Non-live (Consist),3,2027-12-20,2027-11-11,1,C,3
C002,Synthetic long_spans programme C002,2026-09-15,Construction,Non-live (Others),2,2027-12-20,2027-10-26,1,C,3
C003,Synthetic long_spans programme C003,2027-01-02,Construction,Non-live (Others),3,2027-12-20,2027-11-16,1,C,3
C004,Synthetic long_spans programme C004,2026-10-14,Renewal,Live,3,2027-12-20,2027-10-27,2,C,2
C005,Synthetic long_spans programme C005,2026-12-06,Renewal,Non-live (Consist),1,2027-12-20,2027-10-22,1,PC,3
C006,Synthetic long_spans programme C006,2026-11-29,Construction,Non-live (Others),1,2027-12-20,2027-10-25,1,C,3
C007,Synthetic long_spans programme C007,2026-09-22,Construction,Non-live (Others),1,2027-12-20,2027-08-29,1,PC,3
C008,Synthetic long_spans programme C008,2026-12-20,Renewal,Non-live (Consist),3,2027-12-20,2027-09-18,2,C,3
C009,Synthetic long_spans programme C009,2026-09-28,Construction,Non-live (Others),1,2027-12-20,2027-11-15,1,PC,3
C010,Synthetic long_spans programme C010,2026-09-15,Construction,Non-live (Others),2,2027-12-20,2027-05-09,1,PC,3
C011,Synthetic long_spans programme C011,2026-12-09,Construction,Non-live (Others),2,2027-12-20,2027-10-11,1,C,3
C012,Synthetic long_spans programme C012,2026-12-27,Renewal,Live,2,2027-12-20,2027-06-26,1,PM,2
C013,Synthetic long_spans programme C013,2026-10-13,Construction,Non-live (Others),1,2027-12-20,2027-08-31,1,C,3
C014,Synthetic long_spans programme C014,2026-12-29,Renewal,Live,3,2027-12-20,2027-11-05,1,PC,2
