contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic long_spans programme C001,2026-09-11,Renewal,Live,2,2027-12-20,2027-11-23,1,PM,2
C002,Synthetic long_spans programme C002,2026-10-25,Renewal,Live,3,2027-12-20,2027-10-17,1,PC,2
C003,Synthetic long_spans programme C003,2026-10-06,Construction,Non-live (Others),1,2027-12-20,2027-11-21,1,C,3
C004,Synthetic long_spans programme C004,2027-02-02,Renewal,Non-live (Consist),3,2027-12-20,2027-10-12,1,C,3
C005,Synthetic long_spans programme C005,2026-10-23,Renewal,Non-live (Consist),3,2027-12-20,2027-07-06,1,C,3
C006,Synthetic long_spans programme C006,2026-09-13,Construction,Non-live (Others),3,2027-12-20,2027-10-17,1,C,3
C007,Synthetic long_spans programme C007,2026-11-13,Renewal,Non-live (Consist),1,2027-12-20,2027-10-03,1,PC,3
C008,Synthetic long_spans programme C008,2026-11-09,Renewal,Non-live (Consist),2,2027-12-20,2027-10-26,1,C,3
C009,Synthetic long_spans programme C009,2027-01-30,Renewal,Non-live (Consist),2,2027-12-20,2027-10-17,1,C,3
C010,Synthetic long_spans programme C010,2026-10-12,Renewal,Non-live (Consist),1,2027-12-20,2027-08-01,1,PC,3
C011,Synthetic long_spans programme C011,2026-12-15,Construction,Non-live (Others),2,2027-12-20,2027-11-21,1,PC,3
C012,Synthetic long_spans programme C012,2026-09-09,Renewal,Non-live (Consist),1,2027-12-20,2027-11-21,1,C,3
C013,Synthetic long_spans programme C013,2026-12-06,Construction,Non-live (Others),3,2027-12-20,2027-09-19,1,C,3
C014,Synthetic long_spans programme C014,2027-02-09,Renewal,Live,2,2027-12-20,2027-08-24,1,C,2
