contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic mixed programme C001,2026-07-19,Renewal,Live,1,2027-09-27,2027-08-17,1,PM,2
C002,Synthetic mixed programme C002,2026-12-02,Renewal,Non-live (Consist),1,2027-09-27,2027-07-07,1,C,3
C003,Synthetic mixed programme C003,2026-12-01,Construction,Non-live (Others),3,2027-09-27,2027-08-10,1,C,3
C004,Synthetic mixed programme C004,2026-08-12,Renewal,Non-live (Consist),3,2027-09-27,2027-07-06,1,C,3
C005,Synthetic mixed programme C005,2026-11-17,Renewal,Non-live (Consist),1,2027-09-27,2027-03-16,1,C,3
C006,Synthetic mixed programme C006,2026-06-16,Renewal,Non-live (Consist),3,2027-09-27,2027-03-13,1,C,3
C007,Synthetic mixed programme C007,2026-08-27,Renewal,Non-live (Consist),3,2027-09-27,2027-05-19,1,C,3
C008,Synthetic mixed programme C008,2026-11-05,Renewal,Live,2,2027-09-27,2027-05-26,1,C,2
C009,Synthetic mixed programme C009,2026-09-02,Renewal,Live,1,2027-09-27,2027-04-28,1,PC,2
C010,Synthetic mixed programme C010,2026-08-12,Renewal,Non-live (Consist),2,2027-09-27,2027-06-17,1,PC,3
C011,Synthetic mixed programme C011,2026-11-14,Renewal,Live,1,2027-09-27,2027-04-21,1,PM,2
C012,Synthetic mixed programme C012,2026-10-26,Construction,Non-live (Others),1,2027-09-27,2027-08-08,1,PC,3
C013,Synthetic mixed programme C013,2026-08-19,Renewal,Non-live (Consist),3,2027-09-27,2027-06-07,1,PC,3
C014,Synthetic mixed programme C014,2026-07-31,Renewal,Non-live (Consist),3,2027-09-27,2027-08-11,1,C,3
