contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic large_mixed programme C001,2027-06-29,Construction,Non-live (Others),3,2028-07-17,2028-04-02,1,PC,3
C002,Synthetic large_mixed programme C002,2027-03-29,Construction,Non-live (Others),3,2028-07-17,2028-04-20,1,C,3
C003,Synthetic large_mixed programme C003,2027-06-12,Renewal,Live,1,2028-07-17,2028-04-11,2,PC,2
C004,Synthetic large_mixed programme C004,2027-02-18,Renewal,Live,2,2028-07-17,2028-06-18,2,PM,2
C005,Synthetic large_mixed programme C005,2027-01-27,Renewal,Live,3,2028-07-17,2028-04-04,2,C,2
C006,Synthetic large_mixed programme C006,2027-01-18,Renewal,Non-live (Consist),3,2028-07-17,2028-05-21,1,PC,3
C007,Synthetic large_mixed programme C007,2027-02-24,Renewal,Non-live (Consist),3,2028-07-17,2028-03-29,1,PC,3
C008,Synthetic large_mixed programme C008,2027-02-24,Renewal,Live,1,2028-07-17,2028-05-13,2,C,2
C009,Synthetic large_mixed programme C009,2027-04-24,Renewal,Non-live (Consist),2,2028-07-17,2028-05-21,1,C,3
C010,Synthetic large_mixed programme C010,2027-05-03,Renewal,Non-live (Consist),1,2028-07-17,2028-01-29,1,PC,3
C011,Synthetic large_mixed programme C011,2027-05-11,Construction,Non-live (Others),3,2028-07-17,2028-06-03,1,C,3
C012,Synthetic large_mixed programme C012,2027-06-07,Construction,Non-live (Others),3,2028-07-17,2028-01-04,1,C,3
C013,Synthetic large_mixed programme C013,2027-05-28,Construction,Non-live (Others),1,2028-07-17,2028-06-02,1,C,3
C014,Synthetic large_mixed programme C014,2027-02-03,Renewal,Live,2,2028-07-17,2027-11-16,1,PC,2
C015,Synthetic large_mixed programme C015,2027-04-24,Renewal,Non-live (Consist),1,2028-07-17,2028-05-16,1,C,3
C016,Synthetic large_mixed programme C016,2027-01-29,Renewal,Non-live (Consist),3,2028-07-17,2028-05-16,2,C,3
C017,Synthetic large_mixed programme C017,2027-01-21,Renewal,Non-live (Consist),2,2028-07-17,2028-01-20,1,PC,3
C018,Synthetic large_mixed programme C018,2027-02-05,Construction,Non-live (Others),1,2028-07-17,2028-04-19,1,PC,3
C019,Synthetic large_mixed programme C019,2027-01-20,Renewal,Non-live (Consist),2,2028-07-17,2028-05-16,1,PC,3
C020,Synthetic large_mixed programme C020,2027-05-19,Renewal,Live,1,2028-07-17,2028-06-02,1,C,2
C021,Synthetic large_mixed programme C021,2027-06-15,Renewal,Non-live (Consist),2,2028-07-17,2028-05-17,1,C,3
C022,Synthetic large_mixed programme C022,2027-06-20,Construction,Non-live (Others),3,2028-07-17,2028-05-18,1,C,3
