contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic compressed_horizon programme C001,2027-01-12,Renewal,Live,1,2028-01-03,2027-11-14,1,PC,2
C002,Synthetic compressed_horizon programme C002,2027-04-30,Renewal,Live,3,2028-01-03,2027-11-07,2,C,2
C003,Synthetic compressed_horizon programme C003,2027-01-24,Construction,Non-live (Others),1,2028-01-03,2027-12-05,2,C,3
C004,Synthetic compressed_horizon programme C004,2027-05-15,Renewal,Live,2,2028-01-03,2027-11-30,1,PM,2
C005,Synthetic compressed_horizon programme C005,2027-03-18,Renewal,Live,1,2028-01-03,2027-12-12,2,C,2
C006,Synthetic compressed_horizon programme C006,2027-03-04,Construction,Non-live (Others),1,2028-01-03,2027-12-05,1,C,3
C007,Synthetic compressed_horizon programme C007,2027-01-25,Construction,Non-live (Others),2,2028-01-03,2027-12-05,3,PC,3
C008,Synthetic compressed_horizon programme C008,2027-04-20,Renewal,Non-live (Consist),2,2028-01-03,2027-12-05,2,C,3
C009,Synthetic compressed_horizon programme C009,2027-05-22,Construction,Non-live (Others),2,2028-01-03,2027-12-05,1,PC,3
C010,Synthetic compressed_horizon programme C010,2027-02-11,Construction,Non-live (Others),3,2028-01-03,2027-12-05,1,C,3
C011,Synthetic compressed_horizon programme C011,2027-04-08,Construction,Non-live (Others),3,2028-01-03,2027-12-05,1,C,3
C012,Synthetic compressed_horizon programme C012,2027-02-18,Renewal,Non-live (Consist),1,2028-01-03,2027-11-21,1,PC,3
C013,Synthetic compressed_horizon programme C013,2027-04-08,Construction,Non-live (Others),2,2028-01-03,2027-11-14,1,C,3
C014,Synthetic compressed_horizon programme C014,2027-03-06,Renewal,Non-live (Consist),2,2028-01-03,2027-11-28,2,C,3
