contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic priority_pressure programme C001,2026-08-08,Construction,Non-live (Others),2,2027-10-25,2027-07-11,1,PC,3
C002,Synthetic priority_pressure programme C002,2026-10-30,Renewal,Live,3,2027-10-25,2027-07-11,1,C,2
C003,Synthetic priority_pressure programme C003,2026-12-20,Renewal,Live,3,2027-10-25,2027-08-15,1,PM,2
C004,Synthetic priority_pressure programme C004,2026-11-12,Renewal,Live,2,2027-10-25,2027-07-20,1,PC,2
C005,Synthetic priority_pressure programme C005,2026-10-24,Construction,Non-live (Others),2,2027-10-25,2027-07-27,1,PC,3
C006,Synthetic priority_pressure programme C006,2026-09-16,Construction,Non-live (Others),1,2027-10-25,2027-09-28,1,C,3
C007,Synthetic priority_pressure programme C007,2026-10-15,Renewal,Non-live (Consist),3,2027-10-25,2027-08-10,1,PC,3
C008,Synthetic priority_pressure programme C008,2026-09-19,Renewal,Live,2,2027-10-25,2027-03-28,1,C,2
C009,Synthetic priority_pressure programme C009,2026-07-27,Renewal,Non-live (Consist),3,2027-10-25,2027-09-26,1,C,3
C010,Synthetic priority_pressure programme C010,2026-11-22,Construction,Non-live (Others),2,2027-10-25,2027-07-11,1,C,3
C011,Synthetic priority_pressure programme C011,2026-07-04,Renewal,Live,1,2027-10-25,2027-06-27,1,C,2
C012,Synthetic priority_pressure programme C012,2026-07-06,Renewal,Non-live (Consist),1,2027-10-25,2027-08-29,1,C,3
C013,Synthetic priority_pressure programme C013,2026-07-27,Construction,Non-live (Others),1,2027-10-25,2027-09-26,1,C,3
C014,Synthetic priority_pressure programme C014,2026-11-05,Renewal,Live,1,2027-10-25,2027-06-20,1,C,2
C015,Synthetic priority_pressure programme C015,2026-11-13,Construction,Non-live (Others),3,2027-10-25,2027-07-04,1,C,3
C016,Synthetic priority_pressure programme C016,2026-10-05,Construction,Non-live (Others),2,2027-10-25,2027-08-31,1,PC,3
