contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic live_closures programme C001,2026-11-13,Renewal,Non-live (Consist),2,2028-01-17,2027-09-19,1,PC,1
C002,Synthetic live_closures programme C002,2026-12-31,Renewal,Live,3,2028-01-17,2027-09-19,1,C,2
C003,Synthetic live_closures programme C003,2027-01-18,Renewal,Live,3,2028-01-17,2027-11-28,1,PM,1
C004,Synthetic live_closures programme C004,2026-11-02,Construction,Non-live (Others),1,2028-01-17,2027-11-23,1,C,1
C005,Synthetic live_closures programme C005,2026-10-12,Renewal,Live,2,2028-01-17,2027-12-07,1,C,3
C006,Synthetic live_closures programme C006,2027-03-10,Construction,Non-live (Others),3,2028-01-17,2027-12-19,1,PC,2
C007,Synthetic live_closures programme C007,2026-11-06,Construction,Non-live (Others),3,2028-01-17,2027-12-12,1,C,2
C008,Synthetic live_closures programme C008,2026-11-27,Construction,Non-live (Others),2,2028-01-17,2027-09-05,1,C,1
C009,Synthetic live_closures programme C009,2026-12-06,Renewal,Non-live (Consist),3,2028-01-17,2027-12-05,2,C,3
C010,Synthetic live_closures programme C010,2026-12-12,Renewal,Live,1,2028-01-17,2027-10-10,2,C,2
C011,Synthetic live_closures programme C011,2027-03-18,Renewal,Live,3,2028-01-17,2027-10-24,1,C,1
C012,Synthetic live_closures programme C012,2026-11-19,Construction,Non-live (Others),1,2028-01-17,2027-09-21,1,C,1
C013,Synthetic live_closures programme C013,2026-10-25,Renewal,Live,3,2028-01-17,2027-10-17,1,C,3
C014,Synthetic live_closures programme C014,2026-12-20,Renewal,Live,1,2028-01-17,2027-09-26,2,C,1
C015,Synthetic live_closures programme C015,2027-03-11,Renewal,Non-live (Consist),1,2028-01-17,2027-10-24,1,PC,1
C016,Synthetic live_closures programme C016,2026-11-15,Construction,Non-live (Others),1,2028-01-17,2027-10-24,1,C,1
C017,Synthetic live_closures programme C017,2027-03-11,Renewal,Live,3,2028-01-17,2027-11-28,1,PC,3
