contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic large_mixed programme C001,2027-06-11,Renewal,Non-live (Consist),2,2028-07-17,2028-04-14,1,C,3
C002,Synthetic large_mixed programme C002,2027-06-28,Renewal,Live,1,2028-07-17,2028-04-18,3,C,2
C003,Synthetic large_mixed programme C003,2027-06-18,Renewal,Non-live (Consist),1,2028-07-17,2028-04-26,1,PC,3
C004,Synthetic large_mixed programme C004,2027-05-07,Construction,Non-live (Others),3,2028-07-17,2028-06-13,1,C,3
C005,Synthetic large_mixed programme C005,2027-05-22,Construction,Non-live (Others),2,2028-07-17,2028-04-30,1,C,3
C006,Synthetic large_mixed programme C006,2027-02-10,Construction,Non-live (Others),3,2028-07-17,2028-04-12,1,C,3
C007,Synthetic large_mixed programme C007,2027-03-07,Renewal,Non-live (Consist),3,2028-07-17,2028-06-01,1,C,3
C008,Synthetic large_mixed programme C008,2027-04-17,Renewal,Live,3,2028-07-17,2028-04-10,1,PC,2
C009,Synthetic large_mixed programme C009,2027-03-13,Construction,Non-live (Others),3,2028-07-17,2028-05-21,1,PC,3
C010,Synthetic large_mixed programme C010,2027-03-19,Construction,Non-live (Others),1,2028-07-17,2028-06-01,1,C,3
C011,Synthetic large_mixed programme C011,2027-03-24,Renewal,Live,2,2028-07-17,2028-04-18,1,C,2
C012,Synthetic large_mixed programme C012,2027-02-01,Renewal,Live,2,2028-07-17,2028-06-05,1,C,2
C013,Synthetic large_mixed programme C013,2027-04-17,Renewal,Live,2,2028-07-17,2028-01-23,1,C,2
C014,Synthetic large_mixed programme C014,2027-05-17,Construction,Non-live (Others),3,2028-07-17,2028-04-21,1,C,3
C015,Synthetic large_mixed programme C015,2027-03-19,Construction,Non-live (Others),1,2028-07-17,2028-02-16,1,C,3
C016,Synthetic large_mixed programme C016,2027-04-14,Renewal,Non-live (Consist),2,2028-07-17,2028-05-20,1,C,3
C017,Synthetic large_mixed programme C017,2027-04-25,Construction,Non-live (Others),2,2028-07-17,2028-01-04,1,C,3
C018,Synthetic large_mixed programme C018,2027-04-14,Construction,Non-live (Others),2,2028-07-17,2028-05-24,1,C,3
C019,Synthetic large_mixed programme C019,2027-05-28,Renewal,Non-live (Consist),1,2028-07-17,2028-04-20,1,C,3
C020,Synthetic large_mixed programme C020,2027-06-09,Renewal,Non-live (Consist),1,2028-07-17,2028-04-12,1,C,3
C021,Synthetic large_mixed programme C021,2027-07-10,Renewal,Live,1,2028-07-17,2028-05-29,1,PM,2
C022,Synthetic large_mixed programme C022,2027-02-07,Renewal,Non-live (Consist),1,2028-07-17,2028-06-01,1,C,3
