contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic precedence_chains programme C001,2027-03-24,Construction,Non-live (Others),1,2028-03-27,2028-01-23,1,C,3
C002,Synthetic precedence_chains programme C002,2027-03-26,Renewal,Non-live (Consist),1,2028-03-27,2027-11-09,1,PC,3
C003,Synthetic precedence_chains programme C003,2026-12-26,Renewal,Non-live (Consist),3,2028-03-27,2028-02-08,1,C,3
C004,Synthetic precedence_chains programme C004,2026-11-21,Renewal,Live,1,2028-03-27,2027-12-19,1,PM,2
C005,Synthetic precedence_chains programme C005,2027-04-12,Renewal,Non-live (Consist),3,2028-03-27,2028-01-23,1,C,3
C006,Synthetic precedence_chains programme C006,2027-01-22,Renewal,Live,3,2028-03-27,2027-11-07,1,C,2
C007,Synthetic precedence_chains programme C007,2026-11-25,Construction,Non-live (Others),3,2028-03-27,2027-12-26,1,C,3
C008,Synthetic precedence_chains programme C008,2027-03-22,Construction,Non-live (Others),1,2028-03-27,2028-02-22,1,PC,3
C009,Synthetic precedence_chains programme C009,2027-03-15,Renewal,Non-live (Consist),3,2028-03-27,2028-02-06,1,PC,3
C010,Synthetic precedence_chains programme C010,2026-10-31,Renewal,Non-live (Consist),3,2028-03-27,2027-08-31,1,C,3
C011,Synthetic precedence_chains programme C011,2026-12-31,Renewal,Non-live (Consist),2,2028-03-27,2027-12-14,1,C,3
C012,Synthetic precedence_chains programme C012,2027-03-19,Renewal,Live,1,2028-03-27,2028-01-30,1,PC,2
C013,Synthetic precedence_chains programme C013,2027-04-22,Renewal,Live,3,2028-03-27,2027-11-14,1,C,2
C014,Synthetic precedence_chains programme C014,2026-12-22,Renewal,Non-live (Consist),2,2028-03-27,2027-11-02,1,C,3
