contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic contract_contention programme C001,2027-02-28,Renewal,Live,1,2028-03-13,2028-01-23,1,PM,2
C002,Synthetic contract_contention programme C002,2027-02-04,Renewal,Non-live (Consist),2,2028-03-13,2028-02-08,1,C,3
C003,Synthetic contract_contention programme C003,2027-02-22,Renewal,Non-live (Consist),3,2028-03-13,2027-12-26,1,PC,3
C004,Synthetic contract_contention programme C004,2026-12-14,Construction,Non-live (Others),3,2028-03-13,2028-02-12,2,C,3
C005,Synthetic contract_contention programme C005,2027-02-04,Renewal,Non-live (Consist),2,2028-03-13,2028-02-06,1,C,3
C006,Synthetic contract_contention programme C006,2027-02-10,Renewal,Non-live (Consist),3,2028-03-13,2028-01-27,2,C,3
C007,Synthetic contract_contention programme C007,2027-02-11,Renewal,Non-live (Consist),1,2028-03-13,2028-01-25,2,C,3
C008,Synthetic contract_contention programme C008,2027-02-08,Renewal,Live,1,2028-03-13,2028-01-29,1,C,2
C009,Synthetic contract_contention programme C009,2027-01-08,Construction,Non-live (Others),3,2028-03-13,2028-02-12,2,PC,3
C010,Synthetic contract_contention programme C010,2026-12-19,Renewal,Live,3,2028-03-13,2028-02-11,1,PC,2
