contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic precedence_chains programme C001,2026-12-09,Construction,Non-live (Others),2,2028-03-27,2027-10-02,1,PC,3
C002,Synthetic precedence_chains programme C002,2027-03-04,Renewal,Non-live (Consist),2,2028-03-27,2028-02-14,1,PC,3
C003,Synthetic precedence_chains programme C003,2026-12-13,Construction,Non-live (Others),3,2028-03-27,2027-07-11,1,C,3
C004,Synthetic precedence_chains programme C004,2027-03-06,Construction,Non-live (Others),2,2028-03-27,2027-10-21,1,C,3
C005,Synthetic precedence_chains programme C005,2027-02-28,Renewal,Live,1,2028-03-27,2028-01-23,1,PC,2
C006,Synthetic precedence_chains programme C006,2026-12-29,Renewal,Non-live (Consist),3,2028-03-27,2028-01-16,2,C,3
C007,Synthetic precedence_chains programme C007,2026-11-07,Construction,Non-live (Others),2,2028-03-27,2027-11-17,1,PC,3
C008,Synthetic precedence_chains programme C008,2026-11-03,Construction,Non-live (Others),3,2028-03-27,2028-01-19,1,C,3
C009,Synthetic precedence_chains programme C009,2027-03-26,Construction,Non-live (Others),1,2028-03-27,2027-11-12,1,C,3
C010,Synthetic precedence_chains programme C010,2027-04-04,Construction,Non-live (Others),1,2028-03-27,2027-11-28,1,PC,3
C011,Synthetic precedence_chains programme C011,2026-12-20,Renewal,Live,2,2028-03-27,2028-01-13,1,PM,2
C012,Synthetic precedence_chains programme C012,2027-04-14,Renewal,Non-live (Consist),2,2028-03-27,2028-02-24,1,C,3
C013,Synthetic precedence_chains programme C013,2027-03-13,Construction,Non-live (Others),3,2028-03-27,2027-10-22,1,C,3
C014,Synthetic precedence_chains programme C014,2027-01-25,Construction,Non-live (Others),3,2028-03-27,2027-10-20,1,C,3
C015,Synthetic precedence_chains programme C015,2027-01-11,Renewal,Live,1,2028-03-27,2028-02-21,1,C,2
