contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
C001,Synthetic mixed programme C001,2026-07-24,Renewal,Live,3,2027-09-27,2027-08-03,1,C,2
C002,Synthetic mixed programme C002,2026-10-23,Renewal,Non-live (Consist),3,2027-09-27,2027-06-13,1,PC,3
C003,Synthetic mixed programme C003,2026-08-08,Construction,Non-live (Others),2,2027-09-27,2027-06-15,2,C,3
C004,Synthetic mixed programme C004,2026-11-14,Construction,Non-live (Others),1,2027-09-27,2027-05-09,1,PC,3
C005,Synthetic mixed programme C005,2026-08-16,Renewal,Non-live (Consist),3,2027-09-27,2027-07-29,1,C,3
C006,Synthetic mixed programme C006,2026-11-17,Renewal,Live,3,2027-09-27,2027-04-26,1,C,2
C007,Synthetic mixed programme C007,2026-09-01,Renewal,Non-live (Consist),1,2027-09-27,2027-08-01,1,C,3
C008,Synthetic mixed programme C008,2026-07-28,Renewal,Non-live (Consist),3,2027-09-27,2027-07-04,1,PC,3
C009,Synthetic mixed programme C009,2026-10-11,Construction,Non-live (Others),3,2027-09-27,2027-08-22,1,C,3
C010,Synthetic mixed programme C010,2026-12-01,Construction,Non-live (Others),1,2027-09-27,2027-05-17,1,C,3
C011,Synthetic mixed programme C011,2026-11-16,Renewal,Live,3,2027-09-27,2027-08-13,1,PM,2
C012,Synthetic mixed programme C012,2026-10-07,Construction,Non-live (Others),2,2027-09-27,2027-06-04,1,C,3
C013,Synthetic mixed programme C013,2026-10-11,Renewal,Non-live (Consist),3,2027-09-27,2027-08-27,1,C,3
C014,Synthetic mixed programme C014,2026-06-07,Construction,Non-live (Others),2,2027-09-27,2027-08-28,1,C,3
C015,Synthetic mixed programme C015,2026-09-24,Renewal,Live,1,2027-09-27,2027-05-22,1,PC,2
