Request ID,Title,Track Sector,Work Type,Duration Minutes,Earliest Start,Deadline,Priority,Required Crew,Required Equipment,Dependencies,Incompatible Work Types,Approval Status,Locked,Fixed Start,Fixed End,Created By,Notes
M-101,Locked signal replacement,T12,signal_replacement,70,2026-08-13T09:10:00,2026-08-13T11:00:00,5,SIG1,SignalKit-1,,,locked,true,2026-08-13T09:10:00,2026-08-13T10:20:00,signal-team,Approved work that future batches should preserve
M-102,Signal function test,T12,signal_test,45,2026-08-13T10:00:00,2026-08-13T12:00:00,4,SIG1,SignalKit-1,M-101,,draft,false,,,signal-team,Pending conflict: fits only if signal work is resequenced
M-103,Track inspection before renewal,T09,track_inspection,50,2026-08-13T09:20:00,2026-08-13T11:30:00,4,TG1,GeometryCar-1,,,scheduled,false,2026-08-13T09:20:00,2026-08-13T10:10:00,track-team,Tentative prerequisite for renewal
M-104,Track renewal follow-up,T09,track_renewal,80,2026-08-13T10:00:00,2026-08-13T13:30:00,5,TG1,RailGrinder-1,M-103,,scheduled,false,2026-08-13T10:10:00,2026-08-13T11:30:00,track-team,Tentative follow-up that already respects dependency order
M-105,Power isolation for repair,T08,power_isolation,40,2026-08-13T09:00:00,2026-08-13T10:30:00,5,E1,IsolationKit-1,,,scheduled,false,2026-08-13T09:00:00,2026-08-13T09:40:00,power-team,Tentative prerequisite for repair
M-106,Electrical repair after isolation,T08,electrical_repair,90,2026-08-13T09:45:00,2026-08-13T13:00:00,4,E1,PowerUnit-1,M-105,,scheduled,false,2026-08-13T09:45:00,2026-08-13T11:15:00,power-team,Tentative repair after isolation
M-107,Safety clearance for restored sector,T08,safety_clearance,30,2026-08-13T16:30:00,2026-08-13T17:30:00,5,SAFE1,DiagnosticKit-1,,,scheduled,false,2026-08-13T16:30:00,2026-08-13T17:00:00,safety-team,Tentative prerequisite for service restore
M-108,Service restore check,T08,service_restore,25,2026-08-13T17:00:00,2026-08-13T18:30:00,5,SAFE1,DiagnosticKit-1,M-107,,draft,false,,,safety-team,Pending overtime-edge request competing for safety crew
M-109,Geometry car inspection,T12,track_inspection,60,2026-08-13T10:10:00,2026-08-13T13:00:00,3,TG2,GeometryCar-1,,,draft,false,,,track-team,Pending conflict with locked T12 work and equipment use
M-110,Emergency brake inspection,T14,emergency,45,2026-08-13T14:00:00,2026-08-13T16:00:00,5,MECH1,DiagnosticKit-1,,,scheduled,false,2026-08-13T14:00:00,2026-08-13T14:45:00,field-ops,Tentative high-priority emergency-style request
M-111,Depot equipment diagnostic,T14,inspection,50,2026-08-13T14:10:00,2026-08-13T18:30:00,2,MECH1,DiagnosticKit-1,,,draft,false,,,field-ops,Pending lower-priority job that competes with emergency resources
M-112,Electrical feeder inspection,T10,electrical,55,2026-08-13T09:30:00,2026-08-13T11:30:00,3,E2,PowerUnit-2,,,scheduled,false,2026-08-13T09:30:00,2026-08-13T10:25:00,power-team,Tentative electrical feeder inspection
M-113,Locked day inspection,T11,inspection,45,2026-08-14T09:15:00,2026-08-14T10:30:00,4,MECH2,DiagnosticKit-1,,,locked,true,2026-08-14T09:15:00,2026-08-14T10:00:00,field-ops,Second-day approved locked work
M-114,Track sector patrol,T11,track,60,2026-08-14T09:45:00,2026-08-14T12:00:00,3,TG2,GeometryCar-2,,inspection,draft,false,,,track-team,Pending conflict with locked T11 inspection and safety-incompatible work
M-115,Signal replacement eastbound,T13,signal_replacement,75,2026-08-14T10:00:00,2026-08-14T12:20:00,4,SIG2,SignalKit-2,,,scheduled,false,2026-08-14T10:00:00,2026-08-14T11:15:00,signal-team,Tentative prerequisite for later test
M-116,Signal test eastbound,T13,signal_test,40,2026-08-14T11:00:00,2026-08-14T13:00:00,4,SIG2,SignalKit-2,M-115,,scheduled,false,2026-08-14T11:15:00,2026-08-14T11:55:00,signal-team,Tentative test after eastbound replacement
M-117,Power isolation westbound,T10,power_isolation,35,2026-08-14T09:00:00,2026-08-14T10:20:00,4,E2,IsolationKit-1,,,scheduled,false,2026-08-14T09:00:00,2026-08-14T09:35:00,power-team,Tentative westbound isolation
M-118,Electrical repair westbound,T10,electrical_repair,85,2026-08-14T09:45:00,2026-08-14T13:00:00,4,E2,PowerUnit-2,M-117,,scheduled,false,2026-08-14T09:45:00,2026-08-14T11:10:00,power-team,Tentative westbound repair
M-119,Low priority inspection buffer,T09,inspection,45,2026-08-14T16:30:00,2026-08-14T18:30:00,1,MECH2,DiagnosticKit-1,,,scheduled,false,2026-08-14T16:30:00,2026-08-14T17:15:00,field-ops,Tentative low-priority buffer
M-120,Final safety sweep,T12,safety_clearance,30,2026-08-15T17:30:00,2026-08-15T19:45:00,5,SAFE1,DiagnosticKit-1,,,scheduled,false,2026-08-15T17:30:00,2026-08-15T18:00:00,safety-team,Tentative third-day KPI and monthly view coverage
